tv_day,cluster_id,device_id,rank,distance
2023-03-01,3528513,22e1a532-7aad-4c67-a1a5-327aadcc67ef,1,5.64203E-4
2023-03-01,3528513,4e1cf3ab-e6fe-4ebc-9cf3-abe6fecebcb4,3,5.37242E-4
2023-03-01,3528513,bc612e17-34f0-4889-a12e-1734f03889c6,4,5.49402E-4
2023-03-01,3528513,151af361-09b7-4ebe-9af3-6109b78ebee9,6,5.58982E-4
2023-03-01,3528513,a9524bdb-66ba-4db7-924b-db66babdb79c,7,5.58333E-4
2023-03-01,3528513,f8f4ac11-739c-4bc5-b4ac-11739cbbc56c,8,5.51597E-4
2023-03-01,3528513,dce05e3d-e084-4d85-a05e-3de0844d8576,9,5.2912E-4
2023-03-01,3528513,2ca70c08-75dc-4119-a70c-0875dcb119d9,10,5.63879E-4
2023-03-01,3528513,a1e52712-f0f3-4443-a527-12f0f304436e,11,5.98673E-4
2023-03-01,3528513,652f995d-d2ba-459e-af99-5dd2ba759ec8,12,5.50495E-4
2023-03-01,3528521,22e1a532-7aad-4c67-a1a5-327aadcc67ef,1,5.64203E-4
2023-03-01,3528521,41906c28-4ffd-444c-906c-284ffd944c17,2,5.8177E-4
2023-03-01,3528521,79a4906b-5a90-4d8b-a490-6b5a903d8b5e,3,5.82638E-4
2023-03-01,3528521,a1e52712-f0f3-4443-a527-12f0f304436e,4,5.98673E-4
2023-03-01,3528521,a9524bdb-66ba-4db7-924b-db66babdb79c,5,5.58333E-4
2023-03-01,3528521,7932e8e0-b2f2-4ed9-b2e8-e0b2f26ed95a,6,6.10191E-4
2023-03-01,3528521,dce05e3d-e084-4d85-a05e-3de0844d8576,7,5.2912E-4
2023-03-01,3528521,9e1ba8a2-c888-47fc-9ba8-a2c888c7fca5,9,5.57953E-4
2023-03-01,3528521,8b758cc3-babd-4293-b58c-c3babd529395,10,5.31318E-4
2023-03-01,3528521,6aa68b02-df68-4034-a68b-02df68403489,11,5.58575E-4
2023-03-01,3528530,253317d1-ce89-43e8-b317-d1ce89f3e8d0,1,5.36318E-4
2023-03-01,3528530,dce05e3d-e084-4d85-a05e-3de0844d8576,2,5.2912E-4
2023-03-01,3528530,7af4cd4b-08fa-42ae-b4cd-4b08fa62ae76,3,5.53551E-4
2023-03-01,3528530,36fe4584-2663-40d6-be45-842663e0d6bd,4,5.45397E-4
2023-03-01,3528530,8b758cc3-babd-4293-b58c-c3babd529395,5,5.31318E-4
2023-03-01,3528530,ea8dee82-8262-4044-8dee-828262f0440f,6,5.79727E-4
2023-03-01,3528530,6323f857-f388-49ed-a3f8-57f388b9ed5d,7,5.77691E-4
2023-03-01,3528530,c1dcedbc-d94f-40e2-9ced-bcd94fe0e2cf,8,5.57189E-4
2023-03-01,3528530,e6496db8-c4d8-436c-896d-b8c4d8736cfb,9,5.70388E-4
2023-03-01,3528530,a1899c9d-350b-46ac-899c-9d350b36acb3,10,5.49315E-4
2023-03-01,3528540,17f65cc1-fcbe-487f-b65c-c1fcbec87ff4,1,5.35853E-4
2023-03-01,3528540,9529038d-54cc-4221-a903-8d54cc1221f7,4,5.35853E-4
2023-03-01,3528540,f4e6a137-964e-4430-a6a1-37964e043063,5,5.35853E-4
2023-03-01,3528540,d4806a99-3bed-4f17-806a-993bedff17b7,6,5.35853E-4
2023-03-01,3528540,09d57525-face-41d4-9575-25face41d4c4,7,5.35853E-4
2023-03-01,3528540,b8f27de8-47c7-4855-b27d-e847c78855ba,8,5.35853E-4
2023-03-01,3528540,a182a58a-e06a-49a7-82a5-8ae06a39a75a,9,5.35853E-4
2023-03-01,3528540,37f2bf4d-b4e0-4369-b2bf-4db4e0c3694f,11,5.35853E-4
2023-03-01,3528540,c3065ab5-fa24-4902-865a-b5fa2439026e,12,5.35853E-4
2023-03-01,3528540,35421d8b-8ff6-42cb-821d-8b8ff652cbef,14,5.37114E-4
2023-03-01,3528544,dce05e3d-e084-4d85-a05e-3de0844d8576,1,5.2912E-4
2023-03-01,3528544,2472c2b0-8be8-4e08-b2c2-b08be85e0847,2,5.37378E-4
2023-03-01,3528544,bee71c8b-f20f-4c9d-a71c-8bf20f7c9dc1,3,5.37378E-4
2023-03-01,3528544,01a87026-8a3d-43b5-a870-268a3d23b55a,4,5.45416E-4
2023-03-01,3528544,a182a58a-e06a-49a7-82a5-8ae06a39a75a,5,5.35853E-4
2023-03-01,3528544,09d57525-face-41d4-9575-25face41d4c4,6,5.35853E-4
2023-03-01,3528544,b8f27de8-47c7-4855-b27d-e847c78855ba,8,5.35853E-4
2023-03-01,3528544,d4806a99-3bed-4f17-806a-993bedff17b7,9,5.35853E-4
2023-03-01,3528544,17f65cc1-fcbe-487f-b65c-c1fcbec87ff4,10,5.35853E-4
