tv_day,cluster_id,device_id,rank,distance
2023-03-03,4401937,ac07d09b-8a49-4593-87d0-9b8a4995936b,1,0.207258342
2023-03-03,4401937,febfa504-020f-4786-bfa5-04020f5786f4,2,0.217423606
2023-03-03,4401937,b3e112bc-1c4e-4dc5-a112-bc1c4e1dc594,3,0.20629671
2023-03-03,4401937,1bfd4e40-947b-48f8-bd4e-40947b18f866,4,0.249235864
2023-03-03,4401937,c52c66b7-7843-4656-ac66-b77843565681,5,0.196119774
2023-03-03,4401937,e0ce8690-1090-4c54-8e86-9010901c54e7,6,0.191354519
2023-03-03,4401937,3f2b6ab2-5b72-4167-ab6a-b25b72916770,7,0.215298883
2023-03-03,4401937,a06f9667-0320-4757-af96-670320175739,8,0.191450134
2023-03-03,4401937,b8b4997d-6599-4257-b499-7d6599c257c2,9,0.192314603
2023-03-03,4401937,5a378c15-4881-47a3-b78c-15488177a334,10,0.225928782
2023-03-03,4401940,0407c936-eb6c-4e7c-87c9-36eb6c1e7c6d,1,0.172298987
2023-03-03,4401940,dc3851b6-c8c8-44a7-b851-b6c8c884a71b,3,0.197107658
2023-03-03,4401940,139f4a74-7efa-48ae-9f4a-747efa28ae07,5,0.176910841
2023-03-03,4401940,588e3fde-5a8c-4e49-8e3f-de5a8cfe490f,6,0.212871246
2023-03-03,4401940,a99f7a1e-06fa-4300-9f7a-1e06fa3300e2,7,0.177558839
2023-03-03,4401940,4c09b175-6a9a-4a63-89b1-756a9a4a63e5,8,0.181183055
2023-03-03,4401940,0967c8d4-cf94-4f4a-a7c8-d4cf940f4abe,9,0.206461444
2023-03-03,4401940,ed1cd05e-20c6-4071-9cd0-5e20c66071fd,10,0.215859711
2023-03-03,4401940,74f75f19-60b8-40ff-b75f-1960b810ffbf,11,0.217769423
2023-03-03,4401940,f8d6faa9-7c56-4a16-96fa-a97c56da1645,12,0.205002024
2023-03-03,4401943,ac07d09b-8a49-4593-87d0-9b8a4995936b,1,0.207258342
2023-03-03,4401943,80c31734-40be-4cb2-8317-3440be1cb215,2,0.175951958
2023-03-03,4401943,21f222fb-7ebd-4af8-b222-fb7ebddaf8e0,4,0.211120365
2023-03-03,4401943,3e862ae2-6271-44bf-862a-e26271e4bffe,5,0.212848189
2023-03-03,4401943,9f9322d9-6c0f-4e46-9322-d96c0f0e46b5,6,0.190588112
2023-03-03,4401943,d7e8d1c7-8724-4d9c-a8d1-c787249d9cfd,7,0.217519526
2023-03-03,4401943,880759d9-72c1-4101-8759-d972c16101e3,8,0.238205986
2023-03-03,4401943,e3769615-2a05-426b-b696-152a05726ba2,9,0.232441028
2023-03-03,4401943,d02f0bf1-af37-461f-af0b-f1af37061fe6,10,0.197068728
2023-03-03,4401943,12f2f8e4-8988-4242-b2f8-e48988c24294,11,0.243610412
2023-03-03,4401944,167490db-d538-46bc-b490-dbd538f6bcd0,1,0.225837862
2023-03-03,4401944,06fb0c18-0c10-4d7a-bb0c-180c101d7a94,2,0.191546054
2023-03-03,4401944,ccd6f955-d155-486b-96f9-55d155786b71,3,0.211562526
2023-03-03,4401944,2399e5fa-09cb-4b76-99e5-fa09cb1b760b,4,0.205449354
2023-03-03,4401944,2516151b-8462-432e-9615-1b8462032e46,6,0.18927546
2023-03-03,4401944,e3a155ea-d4da-4a02-a155-ead4da1a024a,7,0.221446529
2023-03-03,4401944,54132434-cf5f-4873-9324-34cf5f5873bc,8,0.18016113
2023-03-03,4401944,0ded3b19-dc81-4c7e-ad3b-19dc814c7e74,9,0.20846019
2023-03-03,4401944,407c3b0f-77b2-433c-bc3b-0f77b2933cc6,10,0.227172467
2023-03-03,4401944,585ac399-65d4-4b4e-9ac3-9965d48b4e54,11,0.246484655
2023-03-03,4403337,256551a8-52dc-42c9-a551-a852dc72c9db,1,0.018571127
2023-03-03,4403337,b83edf26-b3dd-4eb3-bedf-26b3ddbeb353,2,0.020544255
2023-03-03,4403337,216fcbbc-66c9-4d51-afcb-bc66c93d5110,3,0.020866948
2023-03-03,4403337,e77f2cf4-2292-47c9-bf2c-f4229267c97e,4,0.024263847
2023-03-03,4403337,1a880d8b-ecf2-43c3-880d-8becf253c3a1,5,0.020524789
2023-03-03,4403337,d1fcfcb4-a0d2-4f59-bcfc-b4a0d20f5906,6,0.021693197
2023-03-03,4403337,9c9237e8-b3ae-4fcb-9237-e8b3aebfcb3f,7,0.024945124
2023-03-03,4403337,7e7eef76-e9f1-4c5a-beef-76e9f16c5af4,8,0.027154169
2023-03-03,4403337,b6c4b79f-90a3-4774-84b7-9f90a377744f,9,0.026469511
2023-03-03,4403337,bcb27486-0883-4803-b274-8608839803d0,10,0.021756924
2023-03-03,4403338,b8f4fabf-dc20-49ad-b4fa-bfdc2029ad53,1,0.024941489
2023-03-03,4403338,f483c835-c70e-47c2-83c8-35c70e67c287,2,0.017781621
2023-03-03,4403338,76f8698d-9999-4a28-b869-8d9999ea28fd,3,0.022333203
2023-03-03,4403338,c9bf253b-7156-4f48-bf25-3b7156ef4866,4,0.023192859
2023-03-03,4403338,5f99be4f-06cf-4b23-99be-4f06cf9b2378,5,0.022393531
2023-03-03,4403338,69290ff3-b11e-4389-a90f-f3b11e2389d5,6,0.022667507
2023-03-03,4403338,7db28cb9-33cf-4957-b28c-b933cf095717,7,0.023937729
2023-03-03,4403338,660dce53-312d-44fc-8dce-53312df4fc6c,8,0.023693173
2023-03-03,4403338,ea5971ea-dece-45f7-9971-eadece65f723,9,0.020053397
