tv_day,cluster_id,device_id,rank,distance
2023-03-02,2580834,c3d04942-d48b-4697-9049-42d48bb697c7,1,0.2290032
2023-03-02,2580834,5eeefc07-7dd6-4a15-aefc-077dd6ba15bf,2,0.259309249
2023-03-02,2580834,eb28af5c-f763-410f-a8af-5cf763610fd5,3,0.205563809
2023-03-02,2580834,fc585c4f-6ff1-45bf-985c-4f6ff125bf03,4,0.267028204
2023-03-02,2580834,a36ff605-9b57-4711-aff6-059b578711e4,5,0.270153778
2023-03-02,2580834,33efa307-edfb-4111-afa3-07edfb711125,6,0.245857987
2023-03-02,2580834,bafaa759-8d34-4f63-baa7-598d34ef63ef,7,0.254701335
2023-03-02,2580834,341e6646-5db1-4ecb-9e66-465db15ecbd4,8,0.191563578
2023-03-02,2580834,61a41ae4-6e9c-4158-a41a-e46e9c9158f4,9,0.18300643
2023-03-02,2580834,ca03e7ff-41b7-4c1e-83e7-ff41b74c1e36,10,0.209165972
2023-03-02,2580844,45a7d17b-efb5-4ad6-a7d1-7befb50ad605,1,0.198096827
2023-03-02,2580844,61a41ae4-6e9c-4158-a41a-e46e9c9158f4,2,0.18300643
2023-03-02,2580844,4e9b426b-8719-4cdf-9b42-6b8719ccdf33,3,0.240481547
2023-03-02,2580844,5df6bc12-a73c-40a9-b6bc-12a73cd0a9ba,4,0.210497061
2023-03-02,2580844,d1c52537-cbaa-44f6-8525-37cbaa84f60e,5,0.195311391
2023-03-02,2580844,57b1de34-11bf-4f50-b1de-3411bf4f500e,6,0.24238087
2023-03-02,2580844,297b5070-203e-11ea-bce9-93103d5755a9,7,0.167950347
2023-03-02,2580844,531c56b0-e25f-4f25-9c56-b0e25fcf25b5,8,0.198926757
2023-03-02,2580844,fb2ca856-3839-4de6-aca8-5638391de62c,9,0.256714973
2023-03-02,2580844,833d40e4-49c8-4086-bd40-e449c84086c3,10,0.22822415
2023-03-02,2580847,05925d7f-f47b-4aa7-925d-7ff47bbaa796,1,0.200955445
2023-03-02,2580847,09a82154-2c16-4276-a821-542c16c2768b,5,0.220652247
2023-03-02,2580847,0bed3f02-b057-41b4-ad3f-02b057f1b42c,6,0.200703996
2023-03-02,2580847,35fdd304-d6b8-4490-bdd3-04d6b844901e,7,0.224286873
2023-03-02,2580847,996c022b-3ec5-4987-ac02-2b3ec51987b8,8,0.204259934
2023-03-02,2580847,7d7350b9-0c01-4690-b350-b90c01869021,9,0.199747863
2023-03-02,2580847,04d3e8d3-2d90-4ea9-93e8-d32d90dea90f,10,0.188416259
2023-03-02,2580847,c38c3dfd-5273-4377-8c3d-fd5273837757,11,0.206999724
2023-03-02,2580847,9b8865be-4c3a-4021-8865-be4c3ab021ad,12,0.248188194
2023-03-02,2580847,3e7c8b50-cea3-4c2a-bc8b-50cea3dc2a0a,13,0.237971995
2023-03-02,2581420,90f4cebc-1a0c-4223-b4ce-bc1a0c1223e0,1,0.112118954
2023-03-02,2581420,9c0d8c90-e741-4eb1-8d8c-90e741ceb1cd,2,0.098979376
2023-03-02,2581420,c868044e-02ac-42c8-a804-4e02aca2c889,3,0.109325033
2023-03-02,2581420,79cc6d3a-d417-4d05-8c6d-3ad417fd0508,4,0.101732895
2023-03-02,2581420,c2ada360-89f2-4a8c-ada3-6089f23a8c63,5,0.102428366
2023-03-02,2581420,d9bd5294-71b6-4f73-bd52-9471b66f73b6,6,0.116034639
2023-03-02,2581420,71964fcd-fed6-4a2e-964f-cdfed6aa2ef2,7,0.115823543
2023-03-02,2581420,35a6936d-01e9-4c5c-a693-6d01e95c5cd8,8,0.128087285
2023-03-02,2581420,5e2b5721-a7f1-4ca5-ab57-21a7f11ca53e,9,0.137852145
2023-03-02,2581420,a31ab57e-15c9-4c34-9ab5-7e15c9bc34f0,10,0.12320024
2023-03-02,2581424,4a145e5c-66f0-4a65-945e-5c66f04a65a1,1,0.124717931
2023-03-02,2581424,86768e09-1bae-45c9-b68e-091bae75c992,2,0.127449693
2023-03-02,2581424,e63174d1-8d8c-4c65-b174-d18d8c8c6569,3,0.152372718
2023-03-02,2581424,a16302a2-250a-4061-a302-a2250aa061c7,4,0.178411805
2023-03-02,2581424,1154c9fc-b3ca-456f-94c9-fcb3ca556f55,5,0.177440783
2023-03-02,2581424,d770c0b9-9331-4bea-b0c0-b99331abea38,6,0.146623541
2023-03-02,2581424,e582ae5b-b5af-4e40-82ae-5bb5afce4053,7,0.116368366
2023-03-02,2581424,500a5773-ce4b-4db1-8a57-73ce4b1db123,8,0.109378665
2023-03-02,2581424,00ccfa8e-fb36-4538-8cfa-8efb36b5388c,9,0.129922019
2023-03-02,2581424,1321d45e-b012-47ed-a1d4-5eb012d7edba,10,0.149885461
2023-03-02,2581432,4670642e-2568-4252-b064-2e25685252ad,1,0.130450359
2023-03-02,2581432,e84fe893-8a97-4bb0-8fe8-938a979bb08f,2,0.12999325
2023-03-02,2581432,9de8fdf7-4ab5-4a1c-a8fd-f74ab59a1c43,3,0.133798317
2023-03-02,2581432,500a5773-ce4b-4db1-8a57-73ce4b1db123,5,0.109378665
2023-03-02,2581432,90f4cebc-1a0c-4223-b4ce-bc1a0c1223e0,6,0.112118954
2023-03-02,2581432,5af3396e-dda6-42c2-b339-6edda632c22e,7,0.109109951
2023-03-02,2581432,e0af8cc5-efd6-496f-af8c-c5efd6a96f63,8,0.109196647
2023-03-02,2581432,e073dbc6-2f37-4dbe-b3db-c62f37fdbe12,9,0.114446787
2023-03-02,2581432,04600e9a-3b2a-4fec-a00e-9a3b2a9fec35,10,0.125949474
2023-03-02,2581432,8b2ed698-95fd-4f90-aed6-9895fd2f90c5,11,0.178914543
2023-03-02,2581434,610daa03-e2fa-41ef-8daa-03e2fab1efa8,1,0.123434429
2023-03-02,2581434,5c26aaa3-c7bc-4c21-a6aa-a3c7bcac212e,2,0.143689714
2023-03-02,2581434,5af3396e-dda6-42c2-b339-6edda632c22e,3,0.109109951
2023-03-02,2581434,04600e9a-3b2a-4fec-a00e-9a3b2a9fec35,4,0.125949474
2023-03-02,2581434,009c5226-16b6-424e-9c52-2616b6c24ebc,5,0.1149961
